from,to,song title,album title,genre,year of publishing,featuring,grammy category,grammy year
Rick Rubin,The Chicks,Silent House,Taking the long way,2,2006,,Album Of The Year,2007
Rick Rubin,The Chicks,Favorite Year,Taking the long way,2,2006,,Album Of The Year,2007
Rick Rubin,The Chicks,Voice Inside My Head,Taking the long way,2,2006,,Album Of The Year,2007
Rick Rubin,The Chicks,I Like It,Taking the long way,2,2006,,Album Of The Year,2007
Rick Rubin,The Chicks,So Hard,Taking the long way,2,2006,,Album Of The Year,2007
Rick Rubin,The Chicks,I Hope,Taking the long way,2,2006,,Album Of The Year,2007
Rick Rubin,The Chicks,Baby Hold On,Taking the long way,2,2006,,Album Of The Year,2007
Rick Rubin,Red Hot Chili Peppers,Dani California,Stadium Arcadium,1,2006,,Best Rock Album,2007
Rick Rubin,Red Hot Chili Peppers,Snow (Hey Oh),Stadium Arcadium,1,2006,,Best Rock Album,2007
Rick Rubin,Red Hot Chili Peppers,Charlie,Stadium Arcadium,1,2006,,Best Rock Album,2007
Rick Rubin,Red Hot Chili Peppers,Stadium Arcadium,Stadium Arcadium,1,2006,,Best Rock Album,2007
Rick Rubin,Red Hot Chili Peppers,Hump de Bump,Stadium Arcadium,1,2006,,Best Rock Album,2007
Rick Rubin,Red Hot Chili Peppers,She`s Only 18,Stadium Arcadium,1,2006,,Best Rock Album,2007
Rick Rubin,Red Hot Chili Peppers,Slow Cheetah,Stadium Arcadium,1,2006,,Best Rock Album,2007
Rick Rubin,Red Hot Chili Peppers,Torture Me,Stadium Arcadium,1,2006,,Best Rock Album,2007
Rick Rubin,Red Hot Chili Peppers,Strip My Mind,Stadium Arcadium,1,2006,,Best Rock Album,2007
Rick Rubin,Red Hot Chili Peppers,Especially in Michigan,Stadium Arcadium,1,2006,,Best Rock Album,2007
Rick Rubin,Red Hot Chili Peppers,Warlocks,Stadium Arcadium,1,2006,,Best Rock Album,2007
Rick Rubin,Red Hot Chili Peppers,C`mon Girl,Stadium Arcadium,1,2006,,Best Rock Album,2007
Rick Rubin,Red Hot Chili Peppers,Wet Sand,Stadium Arcadium,1,2006,,Best Rock Album,2007
Rick Rubin,Red Hot Chili Peppers,Hey (Disc 2),Stadium Arcadium,1,2006,,Best Rock Album,2007
Rick Rubin,Red Hot Chili Peppers,Desecration Smile,Stadium Arcadium,1,2006,,Best Rock Album,2007
Rick Rubin,Red Hot Chili Peppers,Tell Me Baby,Stadium Arcadium,1,2006,,Best Rock Album,2007
Rick Rubin,Red Hot Chili Peppers,Hard to Concentrate,Stadium Arcadium,1,2006,,Best Rock Album,2007
Rick Rubin,Red Hot Chili Peppers,21st Century,Stadium Arcadium,1,2006,,Best Rock Album,2007
Rick Rubin,Red Hot Chili Peppers,Readymade,Stadium Arcadium,1,2006,,Best Rock Album,2007
Rick Rubin,Red Hot Chili Peppers,If,Stadium Arcadium,1,2006,,Best Rock Album,2007
Rick Rubin,Red Hot Chili Peppers,Make you feel better,Stadium Arcadium,1,2006,,Best Rock Album,2007
Rick Rubin,Red Hot Chili Peppers,Animal Bar,Stadium Arcadium,1,2006,,Best Rock Album,2007
Rick Rubin,Red Hot Chili Peppers,So Much I,Stadium Arcadium,1,2006,,Best Rock Album,2007
Rick Rubin,Red Hot Chili Peppers,Storm in a Teacup,Stadium Arcadium,1,2006,,Best Rock Album,2007
Rick Rubin,Red Hot Chili Peppers,We Believe,Stadium Arcadium,1,2006,,Best Rock Album,2007
Rick Rubin,Red Hot Chili Peppers,Turn It Again,Stadium Arcadium,1,2006,,Best Rock Album,2007
Rick Rubin,Red Hot Chili Peppers,Death of a Martian,Stadium Arcadium,1,2006,,Best Rock Album,2007
Rick Rubin,Johnny Cash,Rowboat,Unchained,2,1996,,Best Country Album,1998
Rick Rubin,Johnny Cash,Sea Of Heartbreak,Unchained,2,1996,,Best Country Album,1998
Rick Rubin,Johnny Cash,Rusty Cage,Unchained,2,1996,,Best Country Album,1998
Rick Rubin,Johnny Cash,The One Rose,Unchained,2,1996,,Best Country Album,1998
Rick Rubin,Johnny Cash,Country Boy,Unchained,2,1996,,Best Country Album,1998
Rick Rubin,Johnny Cash,Memories Are Made Of This,Unchained,2,1996,,Best Country Album,1998
Rick Rubin,Johnny Cash,Sea Of Heartbreak,Unchained,2,1996,,Best Country Album,1998
Rick Rubin,Johnny Cash,Spiritual ,Unchained,2,1996,,Best Country Album,1998
Rick Rubin,Johnny Cash,The Kneeling Drunkard’s Plea ,Unchained,2,1996,,Best Country Album,1998
Rick Rubin,Johnny Cash,Southern Accents ,Unchained,2,1996,,Best Country Album,1998
Rick Rubin,Johnny Cash,Mean Eyed Cat ,Unchained,2,1996,,Best Country Album,1998
Rick Rubin,Johnny Cash,Meet Me In Heaven ,Unchained,2,1996,,Best Country Album,1998
Rick Rubin,Johnny Cash,I Never Picked Cotton ,Unchained,2,1996,,Best Country Album,1998
Rick Rubin,Johnny Cash,Unchained ,Unchained,2,1996,,Best Country Album,1998
Rick Rubin,Johnny Cash,I’ve Been Everywhere ,Unchained,2,1996,,Best Country Album,1998
The Strokes,Rick Rubin,The Adults Are Talking,The New Abnormal,1,2020,,Best Rock Album,2021
The Strokes,Rick Rubin,Selfless,The New Abnormal,1,2020,,Best Rock Album,2021
The Strokes,Rick Rubin,Brooklyn Bridge to Chorus,The New Abnormal,1,2020,,Best Rock Album,2021
The Strokes,Rick Rubin,Bad Decisions,The New Abnormal,1,2020,,Best Rock Album,2021
The Strokes,Rick Rubin,Eternal Summer,The New Abnormal,1,2020,,Best Rock Album,2021
The Strokes,Rick Rubin,At the door,The New Abnormal,1,2020,,Best Rock Album,2021
The Strokes,Rick Rubin,Why Are Sundays So Depressing,The New Abnormal,1,2020,,Best Rock Album,2021
The Strokes,Rick Rubin,Not The Same Anymore,The New Abnormal,1,2020,,Best Rock Album,2021
The Strokes,Rick Rubin,Ode To The Mets,The New Abnormal,1,2020,,Best Rock Album,2021
Ed Sheeran,Rick Rubin,Don't,X,3,2014,,Album Of The Year,2015
Ed Sheeran,Rick Rubin,Bloodstream,X,3,2014,,Album Of The Year,2015
Ed Sheeran,Rick Rubin,Tenerifa Sea,X,3,2014,,Album Of The Year,2015
Ed Sheeran,Rick Rubin,Take It Back,X,3,2014,,Album Of The Year,2015
Adele,Rick Rubin,Don't You Remember,21,"3,4",2011,,Album Of The Year,2012
Adele,Rick Rubin,He Won't Go,21,"3,4",2011,,Album Of The Year,2012
Adele,Rick Rubin,One And Only,21,"3,4",2011,,Album Of The Year,2012
Adele,Rick Rubin,Lovesong,21,"3,4",2011,,Album Of The Year,2012
The Chicks,Rick Rubin,The Long Way Around,Taking the long way,2,2006,,Album Of The Year,2007
The Chicks,Rick Rubin,Easy Silence,Taking the long way,2,2006,,Album Of The Year,2007
The Chicks,Rick Rubin,Not Ready to Make Nice,Taking the long way,2,2006,,Album Of The Year,2007
The Chicks,Rick Rubin,Everybody Knows,Taking the long way,2,2006,,Album Of The Year,2007
The Chicks,Rick Rubin,Bitter End,Taking the long way,2,2006,,Album Of The Year,2007
The Chicks,Rick Rubin,Lullaby,Taking the long way,2,2006,,Album Of The Year,2007
The Chicks,Rick Rubin,Lubbock or Leave It,Taking the long way,2,2006,,Album Of The Year,2007
The Chicks,Rick Rubin,Silent House,Taking the long way,2,2006,,Album Of The Year,2007
The Chicks,Rick Rubin,Favorite Year,Taking the long way,2,2006,,Album Of The Year,2007
The Chicks,Rick Rubin,Voice Inside My Head,Taking the long way,2,2006,,Album Of The Year,2007
The Chicks,Rick Rubin,I Like It,Taking the long way,2,2006,,Album Of The Year,2007
The Chicks,Rick Rubin,So Hard,Taking the long way,2,2006,,Album Of The Year,2007
The Chicks,Rick Rubin,I Hope,Taking the long way,2,2006,,Album Of The Year,2007
The Chicks,Rick Rubin,Baby Hold On,Taking the long way,2,2006,,Album Of The Year,2007
Red Hot Chili Peppers,Rick Rubin,Dani California,Stadium Arcadium,1,2006,,Best Rock Album,2007
Red Hot Chili Peppers,Rick Rubin,Snow (Hey Oh),Stadium Arcadium,1,2006,,Best Rock Album,2007
Red Hot Chili Peppers,Rick Rubin,Charlie,Stadium Arcadium,1,2006,,Best Rock Album,2007
Red Hot Chili Peppers,Rick Rubin,Stadium Arcadium,Stadium Arcadium,1,2006,,Best Rock Album,2007
Red Hot Chili Peppers,Rick Rubin,Hump de Bump,Stadium Arcadium,1,2006,,Best Rock Album,2007
Red Hot Chili Peppers,Rick Rubin,She`s Only 18,Stadium Arcadium,1,2006,,Best Rock Album,2007
Red Hot Chili Peppers,Rick Rubin,Slow Cheetah,Stadium Arcadium,1,2006,,Best Rock Album,2007
Red Hot Chili Peppers,Rick Rubin,Torture Me,Stadium Arcadium,1,2006,,Best Rock Album,2007
Red Hot Chili Peppers,Rick Rubin,Strip My Mind,Stadium Arcadium,1,2006,,Best Rock Album,2007
Red Hot Chili Peppers,Rick Rubin,Especially in Michigan,Stadium Arcadium,1,2006,,Best Rock Album,2007
Red Hot Chili Peppers,Rick Rubin,Warlocks,Stadium Arcadium,1,2006,,Best Rock Album,2007
Red Hot Chili Peppers,Rick Rubin,C`mon Girl,Stadium Arcadium,1,2006,,Best Rock Album,2007
Red Hot Chili Peppers,Rick Rubin,Wet Sand,Stadium Arcadium,1,2006,,Best Rock Album,2007
Red Hot Chili Peppers,Rick Rubin,Hey (Disc 2),Stadium Arcadium,1,2006,,Best Rock Album,2007
Red Hot Chili Peppers,Rick Rubin,Desecration Smile,Stadium Arcadium,1,2006,,Best Rock Album,2007
Red Hot Chili Peppers,Rick Rubin,Tell Me Baby,Stadium Arcadium,1,2006,,Best Rock Album,2007
Red Hot Chili Peppers,Rick Rubin,Hard to Concentrate,Stadium Arcadium,1,2006,,Best Rock Album,2007
Red Hot Chili Peppers,Rick Rubin,21st Century,Stadium Arcadium,1,2006,,Best Rock Album,2007
Red Hot Chili Peppers,Rick Rubin,Readymade,Stadium Arcadium,1,2006,,Best Rock Album,2007
Red Hot Chili Peppers,Rick Rubin,If,Stadium Arcadium,1,2006,,Best Rock Album,2007
Red Hot Chili Peppers,Rick Rubin,Make you feel better,Stadium Arcadium,1,2006,,Best Rock Album,2007
Red Hot Chili Peppers,Rick Rubin,Animal Bar,Stadium Arcadium,1,2006,,Best Rock Album,2007
Red Hot Chili Peppers,Rick Rubin,So Much I,Stadium Arcadium,1,2006,,Best Rock Album,2007
Red Hot Chili Peppers,Rick Rubin,Storm in a Teacup,Stadium Arcadium,1,2006,,Best Rock Album,2007
Red Hot Chili Peppers,Rick Rubin,We Believe,Stadium Arcadium,1,2006,,Best Rock Album,2007
Red Hot Chili Peppers,Rick Rubin,Turn It Again,Stadium Arcadium,1,2006,,Best Rock Album,2007
Red Hot Chili Peppers,Rick Rubin,Death of a Martian,Stadium Arcadium,1,2006,,Best Rock Album,2007
Johnny Cash,Rick Rubin,Rowboat,Unchained,2,1996,,Best Country Album,1998
Johnny Cash,Rick Rubin,Sea Of Heartbreak,Unchained,2,1996,,Best Country Album,1998
Johnny Cash,Rick Rubin,Rusty Cage,Unchained,2,1996,,Best Country Album,1998
Johnny Cash,Rick Rubin,The One Rose,Unchained,2,1996,,Best Country Album,1998
Johnny Cash,Rick Rubin,Country Boy,Unchained,2,1996,,Best Country Album,1998
Johnny Cash,Rick Rubin,Memories Are Made Of This,Unchained,2,1996,,Best Country Album,1998
Johnny Cash,Rick Rubin,Sea Of Heartbreak,Unchained,2,1996,,Best Country Album,1998
Johnny Cash,Rick Rubin,Spiritual ,Unchained,2,1996,,Best Country Album,1998
Johnny Cash,Rick Rubin,The Kneeling Drunkard’s Plea ,Unchained,2,1996,,Best Country Album,1998
Johnny Cash,Rick Rubin,Southern Accents ,Unchained,2,1996,,Best Country Album,1998
Johnny Cash,Rick Rubin,Mean Eyed Cat ,Unchained,2,1996,,Best Country Album,1998
Johnny Cash,Rick Rubin,Meet Me In Heaven ,Unchained,2,1996,,Best Country Album,1998
Johnny Cash,Rick Rubin,I Never Picked Cotton ,Unchained,2,1996,,Best Country Album,1998
Johnny Cash,Rick Rubin,Unchained ,Unchained,2,1996,,Best Country Album,1998
Johnny Cash,Rick Rubin,I’ve Been Everywhere ,Unchained,2,1996,,Best Country Album,1998
Greg Fidelman,Rick Rubin,Don't You Remember,21,"3,4",2011,,Album Of The Year,2012
Philip Broussard Jr.,Rick Rubin,Don't You Remember,21,"3,4",2011,,Album Of The Year,2012
Sara Lyn Killion,Rick Rubin,Don't You Remember,21,"3,4",2011,,Album Of The Year,2012
Andrew Scheps,Rick Rubin,Don't You Remember,21,"3,4",2011,,Album Of The Year,2012
Greg Fidelman,Rick Rubin,He Won't Go,21,"3,4",2011,,Album Of The Year,2012
Philip Broussard Jr.,Rick Rubin,He Won't Go,21,"3,4",2011,,Album Of The Year,2012
Sara Lyn Killion,Rick Rubin,He Won't Go,21,"3,4",2011,,Album Of The Year,2012
Andrew Scheps,Rick Rubin,He Won't Go,21,"3,4",2011,,Album Of The Year,2012
Greg Fidelman,Adele,One And Only,21,"3,4",2011,,Album Of The Year,2012
Philip Broussard Jr.,Adele,One And Only,21,"3,4",2011,,Album Of The Year,2012
Sara Lyn Killion,Adele,One And Only,21,"3,4",2011,,Album Of The Year,2012
Andrew Scheps,Adele,One And Only,21,"3,4",2011,,Album Of The Year,2012
Greg Fidelman,Rick Rubin,One And Only,21,"3,4",2011,,Album Of The Year,2012
Philip Broussard Jr.,Rick Rubin,One And Only,21,"3,4",2011,,Album Of The Year,2012
Sara Lyn Killion,Rick Rubin,One And Only,21,"3,4",2011,,Album Of The Year,2012
Andrew Scheps,Rick Rubin,One And Only,21,"3,4",2011,,Album Of The Year,2012
Greg Fidelman,Adele,Lovesong,21,"3,4",2011,,Album Of The Year,2012
Philip Broussard Jr.,Adele,Lovesong,21,"3,4",2011,,Album Of The Year,2012
Sara Lyn Killion,Adele,Lovesong,21,"3,4",2011,,Album Of The Year,2012
Andrew Scheps,Adele,Lovesong,21,"3,4",2011,,Album Of The Year,2012
Greg Fidelman,Rick Rubin,Lovesong,21,"3,4",2011,,Album Of The Year,2012
Philip Broussard Jr.,Rick Rubin,Lovesong,21,"3,4",2011,,Album Of The Year,2012
Sara Lyn Killion,Rick Rubin,Lovesong,21,"3,4",2011,,Album Of The Year,2012
Andrew Scheps,Rick Rubin,Lovesong,21,"3,4",2011,,Album Of The Year,2012
Adele,Greg Fidelman,One And Only,21,"3,4",2011,,Album Of The Year,2012
Adele,Philip Broussard Jr.,One And Only,21,"3,4",2011,,Album Of The Year,2012
Adele,Sara Lyn Killion,One And Only,21,"3,4",2011,,Album Of The Year,2012
Adele,Andrew Scheps,One And Only,21,"3,4",2011,,Album Of The Year,2012
Rick Rubin,Greg Fidelman,One And Only,21,"3,4",2011,,Album Of The Year,2012
Rick Rubin,Philip Broussard Jr.,One And Only,21,"3,4",2011,,Album Of The Year,2012
Rick Rubin,Sara Lyn Killion,One And Only,21,"3,4",2011,,Album Of The Year,2012
Rick Rubin,Andrew Scheps,One And Only,21,"3,4",2011,,Album Of The Year,2012
Adele,Greg Fidelman,Lovesong,21,"3,4",2011,,Album Of The Year,2012
Adele,Philip Broussard Jr.,Lovesong,21,"3,4",2011,,Album Of The Year,2012
Adele,Sara Lyn Killion,Lovesong,21,"3,4",2011,,Album Of The Year,2012
Adele,Andrew Scheps,Lovesong,21,"3,4",2011,,Album Of The Year,2012
Rick Rubin,Greg Fidelman,Lovesong,21,"3,4",2011,,Album Of The Year,2012
Rick Rubin,Philip Broussard Jr.,Lovesong,21,"3,4",2011,,Album Of The Year,2012
Rick Rubin,Sara Lyn Killion,Lovesong,21,"3,4",2011,,Album Of The Year,2012
Rick Rubin,Andrew Scheps,Lovesong,21,"3,4",2011,,Album Of The Year,2012
Greg Fidelman,Adele,Don't You Remember,21,"3,4",2011,,Album Of The Year,2012
Philip Broussard Jr.,Adele,Don't You Remember,21,"3,4",2011,,Album Of The Year,2012
Sara Lyn Killion,Adele,Don't You Remember,21,"3,4",2011,,Album Of The Year,2012
Andrew Scheps,Adele,Don't You Remember,21,"3,4",2011,,Album Of The Year,2012
Greg Fidelman,Adele,He Won't Go,21,"3,4",2011,,Album Of The Year,2012
Philip Broussard Jr.,Adele,He Won't Go,21,"3,4",2011,,Album Of The Year,2012
Sara Lyn Killion,Adele,He Won't Go,21,"3,4",2011,,Album Of The Year,2012
Andrew Scheps,Adele,He Won't Go,21,"3,4",2011,,Album Of The Year,2012
Adele,Greg Fidelman,Don't You Remember,21,"3,4",2011,,Album Of The Year,2012
Adele,Philip Broussard Jr.,Don't You Remember,21,"3,4",2011,,Album Of The Year,2012
Adele,Sara Lyn Killion,Don't You Remember,21,"3,4",2011,,Album Of The Year,2012
Adele,Andrew Scheps,Don't You Remember,21,"3,4",2011,,Album Of The Year,2012
Adele,Greg Fidelman,He Won't Go,21,"3,4",2011,,Album Of The Year,2012
Adele,Philip Broussard Jr.,He Won't Go,21,"3,4",2011,,Album Of The Year,2012
Adele,Sara Lyn Killion,He Won't Go,21,"3,4",2011,,Album Of The Year,2012
Adele,Andrew Scheps,He Won't Go,21,"3,4",2011,,Album Of The Year,2012
Rick Rubin,Greg Fidelman,Don't You Remember,21,"3,4",2011,,Album Of The Year,2012
Rick Rubin,Philip Broussard Jr.,Don't You Remember,21,"3,4",2011,,Album Of The Year,2012
Rick Rubin,Sara Lyn Killion,Don't You Remember,21,"3,4",2011,,Album Of The Year,2012
Rick Rubin,Andrew Scheps,Don't You Remember,21,"3,4",2011,,Album Of The Year,2012
Rick Rubin,Greg Fidelman,He Won't Go,21,"3,4",2011,,Album Of The Year,2012
Rick Rubin,Philip Broussard Jr.,He Won't Go,21,"3,4",2011,,Album Of The Year,2012
Rick Rubin,Sara Lyn Killion,He Won't Go,21,"3,4",2011,,Album Of The Year,2012
Rick Rubin,Andrew Scheps,He Won't Go,21,"3,4",2011,,Album Of The Year,2012
